,mp_name,p_name
1065,Chlordane (alpha+gamma),
1066,Chlordane (alpha+gamma),
1067,Chlordane (alpha+gamma),
1068,Chlordane (alpha+gamma),
1069,Chlordane (alpha+gamma),
1070,Chlordane (alpha+gamma),
1071,Chlordane (alpha+gamma),
1072,Chlordane (alpha+gamma),
1073,Chlordane (alpha+gamma),
1074,Chlordane (alpha+gamma),
1075,Chlordane (alpha+gamma),
1076,Chlordane (alpha+gamma),
1087,p-p'-DDD,
1088,p-p'-DDD,
1089,p-p'-DDD,
1090,p-p'-DDD,
1091,p-p'-DDD,
1092,p-p'-DDD,
1093,p-p'-DDD,
1094,p-p'-DDD,
1095,p-p'-DDD,
1096,p-p'-DDD,
1097,p-p'-DDD,
1098,p-p'-DDD,
1099,p-p'-DDD,
1100,p-p'-DDD,
1101,p-p'-DDD,
1102,p-p'-DDD,
1113,p-p'-DDE,
1114,p-p'-DDE,
1115,p-p'-DDE,
1116,p-p'-DDE,
1117,p-p'-DDE,
1118,p-p'-DDE,
1119,p-p'-DDE,
1120,p-p'-DDE,
1121,p-p'-DDE,
1122,p-p'-DDE,
1123,p-p'-DDE,
1124,p-p'-DDE,
1125,p-p'-DDE,
1126,p-p'-DDE,
1127,p-p'-DDE,
1128,p-p'-DDE,
1139,p-p'-DDT,
1140,p-p'-DDT,
1141,p-p'-DDT,
1142,p-p'-DDT,
1143,p-p'-DDT,
1144,p-p'-DDT,
1145,p-p'-DDT,
1146,p-p'-DDT,
1147,p-p'-DDT,
1148,p-p'-DDT,
1149,p-p'-DDT,
1150,p-p'-DDT,
1151,p-p'-DDT,
1152,p-p'-DDT,
1153,p-p'-DDT,
1154,p-p'-DDT,
1165,Dieldrin,
1166,Dieldrin,
1167,Dieldrin,
1168,Dieldrin,
1169,Dieldrin,
1170,Dieldrin,
1171,Dieldrin,
1172,Dieldrin,
1173,Dieldrin,
1174,Dieldrin,
1175,Dieldrin,
1176,Dieldrin,
1177,Dieldrin,
1178,Dieldrin,
1179,Dieldrin,
1180,Dieldrin,
1191,Heptachlor epoxide,
1192,Heptachlor epoxide,
1193,Heptachlor epoxide,
1194,Heptachlor epoxide,
1195,Heptachlor epoxide,
1196,Heptachlor epoxide,
1197,Heptachlor epoxide,
1198,Heptachlor epoxide,
1199,Heptachlor epoxide,
1200,Heptachlor epoxide,
1201,Heptachlor epoxide,
1202,Heptachlor epoxide,
1203,Heptachlor epoxide,
1204,Heptachlor epoxide,
1205,Heptachlor epoxide,
1206,Heptachlor epoxide,
1217,Mirex,
1218,Mirex,
1219,Mirex,
1220,Mirex,
1221,Mirex,
1222,Mirex,
1223,Mirex,
1224,Mirex,
1225,Mirex,
1226,Mirex,
1227,Mirex,
1228,Mirex,
1229,Mirex,
1230,Mirex,
1231,Mirex,
1232,Mirex,
1243,opDDT,
1244,opDDT,
1245,opDDT,
1246,opDDT,
1247,opDDT,
1248,opDDT,
1249,opDDT,
1250,opDDT,
1251,opDDT,
1252,opDDT,
1253,opDDT,
1254,opDDT,
1255,opDDT,
1256,opDDT,
1257,opDDT,
1258,opDDT,
1269,PCBs (as Arochlor 1254) Total,
1270,PCBs (as Arochlor 1254) Total,
1271,PCBs (as Arochlor 1254) Total,
1272,PCBs (as Arochlor 1254) Total,
1273,PCBs (as Arochlor 1254) Total,
1274,PCBs (as Arochlor 1254) Total,
1275,PCBs (as Arochlor 1254) Total,
1276,PCBs (as Arochlor 1254) Total,
1277,PCBs (as Arochlor 1254) Total,
1278,PCBs (as Arochlor 1254) Total,
1279,PCBs (as Arochlor 1254) Total,
1280,PCBs (as Arochlor 1254) Total,
1281,PCBs (as Arochlor 1254) Total,
1282,PCBs (as Arochlor 1254) Total,
1283,PCBs (as Arochlor 1254) Total,
